lambda_0,window_id,reported_cefi,reported_q_star,q1_feasible_cefi,absolute_witness_gap
3.0,13,7.453964538539138e-06,29,0.0008030502802807741,0.000795596315742235
3.0,14,1.7158681827127284e-05,28,0.0011111165327905089,0.0010939578509633816
3.0,15,0.0012246467252150358,4,0.0046544474948097955,0.0034298007695947597
3.0,16,9.558584956200346e-06,24,0.0006322187731242342,0.0006226601881680338
3.0,17,5.990785926810892e-05,14,0.0009820344976345947,0.0009221266383664858
5.0,0,0.00040280705732982365,5,0.0020056911974155158,0.0016028841400856921
5.0,1,0.00025933068166494877,10,0.0028516269959906635,0.0025922963143257148
5.0,2,0.0001692203513462922,12,0.0022302323025081465,0.0020610119511618543
5.0,3,0.00012941474482867465,6,0.0007211379876291465,0.0005917232428004718
5.0,4,8.790787440903598e-05,6,0.001316433110955521,0.001228525236546485
5.0,5,5.344268854775257e-06,6,0.001023499494794322,0.0010181552259395468
5.0,6,2.1982129964233854e-05,20,0.0003502378327121155,0.00032825570274788165
5.0,7,-1.598006716663474e-07,29,0.00037771996114871107,0.0003778797618203774
5.0,8,3.087547653631028e-06,29,0.00033975694648334567,0.00033666939882971464
5.0,9,0.0001382239570659749,8,0.00029679113199243545,0.00015856717492646055
5.0,10,4.511801834610195e-05,8,0.0002431955012863085,0.00019807748294020655
5.0,11,1.0862517365198743e-05,23,0.00021715430215204872,0.00020629178478684997
5.0,12,1.0881634587069382e-05,26,0.0002167998067690746,0.00020591817218200523
5.0,13,1.6282523328352066e-05,19,0.00028865971156400626,0.0002723771882356542
5.0,14,7.79586540615928e-06,28,0.0003955946060421193,0.00038779874063596
5.0,15,0.0007336594899227222,4,0.0025376994364496143,0.0018040399465268921
5.0,16,2.5114851460728005e-06,24,0.00022290443169511082,0.00022039294654903802
5.0,17,5.089510892798357e-05,14,0.0004508022604235625,0.0003999071514955789
10.0,0,0.00030651924749562913,5,0.0006146542499543273,0.00030813500245869814
10.0,1,0.00016019179013397887,10,0.0008775390245288506,0.0007173472343948717
10.0,2,0.00024298684983490302,2,0.000831036693250553,0.00058804984341565
10.0,3,9.522258148564336e-05,6,0.00019042944926391434,9.520686777827098e-05
10.0,4,7.549364216821172e-05,6,0.000455707546204002,0.0003802139040357903
10.0,5,4.1447186718220487e-05,6,0.00038250783875390935,0.00034106065203568886
10.0,6,3.86786155374352e-05,10,5.4312436149217536e-05,1.5633820611782334e-05
10.0,7,2.479868825133719e-06,20,0.0001462110077195433,0.0001437311388944096
10.0,8,1.1814708059070921e-06,29,4.660623296188032e-05,4.5424762155973225e-05
10.0,9,0.00012381592834727803,8,7.379768867451139e-05,-5.001823967276664e-05
10.0,10,5.413362166576027e-05,8,5.303702586359668e-05,-1.0965958021635913e-06
10.0,11,1.687492103530296e-05,11,2.908937773285676e-05,1.22144566975538e-05
10.0,12,5.778449343770618e-06,26,6.373936224601806e-05,5.796091290224744e-05
10.0,13,2.9048117699264557e-05,9,5.975230914382715e-05,3.070419144456259e-05
10.0,14,1.9745591043287983e-06,28,8.576524198330068e-05,8.379068287897188e-05
10.0,15,0.0003279324285842359,4,0.001095586514577344,0.0007676540859931081
10.0,16,2.4056893322977604e-07,29,4.2791990289122356e-05,4.255142135589258e-05
10.0,17,2.1856863019361787e-05,14,0.00015746144458566035,0.00013560458156629856
